dgp,setting,linearity_degree,N,method,n_reps,avg_n_treated_obs,surf_rmse_mean,surf_rmse_sd,surf_mae_mean,surf_mae_sd,surf_mape_mean,surf_mape_sd,surf_cover90_mean,surf_cover90_sd,surf_cover95_mean,surf_cover95_sd,surf_len90_mean,surf_len90_sd,surf_len95_mean,surf_len95_sd
canonical,B2_sweep_serial,3,50,did_dr,96,100.0,1.1000264081854292,0.1932710188520106,0.8929416774589086,0.1410915346863512,0.2570315232892579,0.04188735300067262,0.462226369596882,0.12373113787129791,0.5411672254738628,0.11930539944907884,1.4733472629294369,0.327337652933867,1.7556011626808399,0.39004678566904616
canonical,B2_sweep_serial,3,50,doubleml,100,99.03,1.2507251941833033,0.2615820293118168,1.0079055002240702,0.20101087595708486,0.29027238722640153,0.05980443840642237,0.6501409727627177,0.10350845897281447,0.734219070864341,0.09926870212720756,2.6037561926807404,0.8724317232108681,3.1025661866836294,1.039566289744419
canonical,B2_sweep_serial,3,50,plain,100,100.16,0.6905007000430868,0.15236792000380436,0.5427160317476077,0.13864556140689427,0.15073638891785207,0.04607939482318915,0.6600296750306649,0.1726744426316598,0.7444689312390671,0.1610232561811327,1.258119790755449,0.12181185680371047,1.4999714380731886,0.14180209104474661
canonical,B2_sweep_serial,3,50,synthdid,100,100.16,1.080908864993433,0.18834658076095603,0.883446471072735,0.13380662805231486,0.2517580183321927,0.038435888629100357,0.42597646253126414,0.1266102700900271,0.5086940390299266,0.12357157598690066,1.3519883631753151,0.1552858051103876,1.6109931460436884,0.18503440896722428
canonical,B2_sweep_serial,3,50,wang,100,100.16,1.1261154337900543,0.1828969988597556,0.9180760986343587,0.12412938661210345,0.26393015424955696,0.036357514161200664,0.41529580846532616,0.0881321756369686,0.4975293277434001,0.08711683294209983,1.3747866269394935,0.14265289492942218,1.638158946923458,0.1699813713298873
canonical,B2_sweep_serial,3,100,corrected,100,195.4,1.2908612218917122,1.0141541195500337,1.0371453634310406,0.8235512943458562,0.2976861775523499,0.2330857143611546,0.3891414720561525,0.1754528371930294,0.45729286646958145,0.17373535940972384,2.000095576849756,4.792478403138144,2.602961876729691,6.73509039469277
canonical,B2_sweep_serial,3,100,did2s,100,195.4,1.1084072563903797,0.1480208619419436,0.889261950676208,0.10419490667987269,0.25393518440387225,0.03236731279078317,0.38613650663995697,0.08217538179268032,0.4524014467783322,0.07167870410453601,1.1845466359870536,0.08406376001820465,1.411474065695636,0.10016812637493643
canonical,B2_sweep_serial,3,100,did_dr,99,195.31313131313132,1.0860706320374605,0.13301575353955283,0.8728561297973463,0.08849559422176383,0.2520461712740692,0.025773795575913656,0.3288642632616675,0.09035426706810987,0.3889603942509834,0.07508643877673721,0.9923319626264082,0.10940495551279389,1.1824362057648306,0.1303640166401869
canonical,B2_sweep_serial,3,100,doubleml,100,195.4,1.1273154231249212,0.16804272766172051,0.9073907942309678,0.11321615390078939,0.2592177515636233,0.03361982298736734,0.45624755799940886,0.08079580121057242,0.531144758248885,0.08227156956710349,1.4727367169940169,0.28916870557228846,1.7548736524861546,0.34456568962855333
canonical,B2_sweep_serial,3,100,plain,100,195.4,0.6000034216227224,0.10919893377443217,0.4492018815955535,0.08590501337643106,0.12129190677340083,0.027232970313737666,0.6634437606405227,0.12395239919440207,0.7507338726230728,0.11789740372027292,1.0543166292837247,0.08932366421821213,1.2563069486174008,0.10297794992325407
canonical,B2_sweep_serial,3,100,synthdid,100,195.4,1.0845097142506501,0.14079275938762678,0.8734116877576128,0.0927870308295605,0.250929237980888,0.02769531463257826,0.3327408811498712,0.0997463166653044,0.3836394215414723,0.08645069799383544,0.9634604888310037,0.08940358153615374,1.1480337303682695,0.10653091476929018
canonical,B2_sweep_serial,3,100,wang,100,195.4,1.067427721425447,0.13746415323250574,0.8431025579494967,0.09631041971559329,0.24186228748208205,0.028325085505855125,0.37150967357903797,0.07528444545245674,0.4298769360438788,0.07035877902531909,1.0466027394797894,0.0991941328378517,1.2471038108438603,0.11819707364508279
canonical,B2_sweep_serial,3,200,corrected,100,401.24,1.157716205816295,0.638799201814023,0.9293891437988342,0.48309959517528916,0.26955961728610134,0.14853077553415578,0.2402124989678177,0.15679761335297931,0.29011332575666215,0.1514183325365136,1.1416239062764668,3.023038450134892,1.4553546632831842,4.140824203363039
canonical,B2_sweep_serial,3,200,did2s,100,401.24,1.0817039217498883,0.10262134902350009,0.8693612958465482,0.059343455520370805,0.2498487224455181,0.019312785419920864,0.2587791597520509,0.09711796062354705,0.31137550892336113,0.09052217955710898,0.8305495309690315,0.03986920010489586,0.9896605904938592,0.04750707170021884
canonical,B2_sweep_serial,3,200,did_dr,100,401.24,1.0760426839073032,0.10329932102224187,0.8652400984798173,0.06178384519539962,0.24935101525633643,0.018446046933263592,0.20810206206254178,0.0995248084654657,0.2562527175379075,0.09488197376906733,0.6773957538623128,0.04297253890459518,0.8071666490296372,0.05120492714952565
canonical,B2_sweep_serial,3,200,doubleml,100,401.24,1.0863716536472334,0.1027478870814695,0.870959116712411,0.06279497889534087,0.2511402981272614,0.017868723426865976,0.281378698914077,0.08840452049625726,0.3328009762084372,0.08131056016137683,0.8737169041568131,0.07570159480607261,1.0410976769602676,0.09020399413108302
canonical,B2_sweep_serial,3,200,plain,100,401.24,0.45609858582679585,0.09549970210339456,0.33121202608516365,0.07704607152112597,0.08867879880044169,0.023869400317684104,0.7434580647852065,0.12133883972790907,0.8194342494444922,0.10466950974130844,0.8885085996816079,0.05655439457575231,1.0580671779629234,0.06527166583915085
canonical,B2_sweep_serial,3,200,synthdid,100,401.24,1.072465830929577,0.10090344368078306,0.8640801976242112,0.05901817739741702,0.24809363776414028,0.017441243259390324,0.20155056492730045,0.1100994934038248,0.2506821972615397,0.1068648985461133,0.6654201255938523,0.03466271432726201,0.7928968109263369,0.041303162605141754
canonical,B2_sweep_serial,3,200,twfe,100,401.24,0.9023870074298901,0.043534772047852416,0.7623700790308157,0.04467812143695741,0.22106081213824763,0.017554973982472053,0.2968376430117112,0.04157671413163038,0.34781489613300254,0.04205341625545813,0.8114676033547705,0.03909942897569734,0.9669232879670132,0.04658984322542975
canonical,B2_sweep_serial,3,200,wang,100,401.24,0.6143854265269814,0.09754828065183531,0.518134617774349,0.0930934086184921,0.15037587538850872,0.028101720271349585,0.5112739550389108,0.13179291229222964,0.5897055968844864,0.13023922025871892,0.9910797576445388,0.0754310026995516,1.1809441118251358,0.08988156381966081
canonical,B2_sweep_serial,3,400,corrected,100,803.44,1.1042465144109153,0.4092017574367127,0.9022340184070384,0.35419045465700916,0.26093885945617395,0.09848874657643057,0.16048692255668548,0.15498248458561156,0.20313287181892595,0.16183189879151083,0.7793132144947513,1.8170303120239983,0.988517770979504,2.480436542134668
canonical,B2_sweep_serial,3,400,did2s,100,803.44,1.0494448894109236,0.07255560437055526,0.8505336789351978,0.049160140902165486,0.24784307922942503,0.014606649450142695,0.1935216370872863,0.08825784152875475,0.23701107312522438,0.08294406207193919,0.5947064165545162,0.019740324122447132,0.7086362479684252,0.02352204185193824
canonical,B2_sweep_serial,3,400,did_dr,100,803.44,1.0432574713438787,0.0711297841013034,0.8479115225004701,0.04743738618914055,0.24683896220169,0.012899733549022402,0.13753801821135772,0.07719244959748328,0.17629891689300134,0.07735311386581564,0.47643434691848363,0.028719141262778206,0.5677064154774459,0.03422096002803873
canonical,B2_sweep_serial,3,400,doubleml,100,803.44,1.0461617349228272,0.0719974750683464,0.8491317858802848,0.049747361030131595,0.24704341335244276,0.013086106023797566,0.17408691384432462,0.07731305226707634,0.21782289410056366,0.07419463565968845,0.5600970726270923,0.029787972718350895,0.6673966801032107,0.03549455098200199
canonical,B2_sweep_serial,3,400,plain,100,803.44,0.32954214970032886,0.05738445284847005,0.2371521523973339,0.041322651263347644,0.06439969266063396,0.012120517968648839,0.8208166897841709,0.08557303619917418,0.8851041241762914,0.06926135142434635,0.7738677348802075,0.04203791963296684,0.9197802050398248,0.047498184912676766
