dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
canonical,B2_sweep,2,200,wang,-0.5182257999502201,3.1206637119446894,3.1479699113479414,GATT,g=4_t=4
canonical,B2_sweep,2,400,doubleml,0.018750456638352377,3.429036516591979,3.4118997783381886,GATT,g=4_t=4
canonical,B2_sweep,2,400,wang,0.10804401484589352,2.9767656498598978,2.9638144182772272,GATT,g=4_t=4
canonical,B2_sweep,2,800,doubleml,-0.003559779342730227,3.208140187949302,3.1920611684159503,GATT,g=4_t=4
canonical,B2_sweep,2,800,wang,0.035671009570905216,3.169304305123259,3.153619714171622,GATT,g=4_t=4
canonical,B2_sweep,2,1600,doubleml,0.4825175536259272,2.8387299393731142,2.865419163327331,GATT,g=4_t=4
canonical,B2_sweep,2,1600,wang,0.3633122010433357,2.699024921718198,2.709960134061444,GATT,g=4_t=4
canonical,B2_sweep,3,200,did_dr,-0.4846113137981223,3.1668367008824787,3.188011020780323,GATT,g=4_t=4
canonical,B2_sweep,3,200,doubleml,-0.43791848657513405,4.03776071598153,4.041317741085534,GATT,g=4_t=4
canonical,B2_sweep,3,200,wang,-0.5197380944639907,3.125469942190563,3.152935841843023,GATT,g=4_t=4
canonical,B2_sweep,3,400,doubleml,0.16218594897864455,3.4531561351045235,3.4396727609646254,GATT,g=4_t=4
canonical,B2_sweep,3,400,wang,0.10681058377186607,2.9799374672266863,2.966923581136069,GATT,g=4_t=4
canonical,B2_sweep,3,800,doubleml,0.07173366218843635,3.531695297215639,3.5147245516458723,GATT,g=4_t=4
canonical,B2_sweep,3,800,wang,0.03104147414461384,3.1643824052034746,3.1486737556334394,GATT,g=4_t=4
canonical,B2_sweep,3,1600,doubleml,0.306727276150683,2.9036752323340447,2.905356807391526,GATT,g=4_t=4
canonical,B2_sweep,3,1600,wang,0.36200055289820343,2.697413257243705,2.7081953950646103,GATT,g=4_t=4
canonical,B2_sweep_serial,1,200,did_dr,-0.3598018545890181,1.7970603938792094,1.8238939588754888,GATT,g=4_t=4
canonical,B2_sweep_serial,1,200,doubleml,-0.2526030815456278,2.3747843577247423,2.376344473144314,GATT,g=4_t=4
canonical,B2_sweep_serial,1,200,wang,-0.4461497784450502,1.8428471095262025,1.887107373522968,GATT,g=4_t=4
canonical,B2_sweep_serial,1,400,doubleml,-0.07049253355916,2.1668254468487165,2.157116220612051,GATT,g=4_t=4
canonical,B2_sweep_serial,1,400,wang,0.07091236180634156,1.799881197289549,1.7922625823717488,GATT,g=4_t=4
canonical,B2_sweep_serial,1,800,doubleml,0.16048762256489715,2.3217693108075,2.3156992210297926,GATT,g=4_t=4
canonical,B2_sweep_serial,1,800,wang,0.184141680119731,2.090014048137992,2.087674613668838,GATT,g=4_t=4
canonical,B2_sweep_serial,1,1600,doubleml,0.4516627545235623,1.8821261660166404,1.9263888910550393,GATT,g=4_t=4
canonical,B2_sweep_serial,1,1600,wang,0.32263605641303444,1.707706958629871,1.729506996483422,GATT,g=4_t=4
canonical,B2_sweep_serial,2,200,did_dr,-0.39736603693839306,1.8740858118741328,1.9065611506787221,GATT,g=4_t=4
canonical,B2_sweep_serial,2,200,doubleml,-0.320130100114983,2.6266195515872024,2.632987323762115,GATT,g=4_t=4
canonical,B2_sweep_serial,2,200,wang,-0.44602743821682894,1.843291090305536,1.8875076950322718,GATT,g=4_t=4
canonical,B2_sweep_serial,2,400,doubleml,0.012053921377160126,2.2800795821266964,2.268682562379168,GATT,g=4_t=4
canonical,B2_sweep_serial,2,400,wang,0.07314759698046976,1.8061799701801595,1.7986144096990937,GATT,g=4_t=4
canonical,B2_sweep_serial,2,800,doubleml,-0.10494968407676758,2.1562987561870717,2.1480555204329304,GATT,g=4_t=4
canonical,B2_sweep_serial,2,800,wang,0.18877948782658785,2.0879249999827842,2.0860187421309635,GATT,g=4_t=4
canonical,B2_sweep_serial,2,1600,doubleml,0.32268478319384697,1.9378208415621831,1.954922910796664,GATT,g=4_t=4
canonical,B2_sweep_serial,2,1600,wang,0.31257308788460725,1.7055088848006115,1.7255071387398557,GATT,g=4_t=4
canonical,B2_sweep_serial,3,200,did_dr,-0.3973660369383895,1.8740858118741284,1.906561150678717,GATT,g=4_t=4
canonical,B2_sweep_serial,3,200,doubleml,-0.37711064433032376,2.5486619554086856,2.56377327846777,GATT,g=4_t=4
canonical,B2_sweep_serial,3,200,wang,-0.4493947433022404,1.8391058397938034,1.8842618773333286,GATT,g=4_t=4
canonical,B2_sweep_serial,3,400,doubleml,0.2481278621531842,2.308197415726964,2.3099924226814377,GATT,g=4_t=4
canonical,B2_sweep_serial,3,400,wang,0.07198303644390576,1.806221365854967,1.7986085799255933,GATT,g=4_t=4
canonical,B2_sweep_serial,3,800,doubleml,0.10691534764181522,2.129128866930749,2.1211526881012612,GATT,g=4_t=4
