dgp,setting,linearity_degree,N,estimand_type,estimand_id,method,n_reps,n_reps_attempted,retention,mean_true,bias,abs_bias,emp_sd,variance,rmse,mae,mape,avg_post_sd,sd_ratio,cover90,cover95,len90,len95,reject05,reject10,mcse_bias,mcse_cover90,mcse_cover95,mcse_reject05,mcse_reject10,role,n_reps_expected
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-3,wang,200,200.0,1.0,-1.6,-0.0227627043797884,0.0227627043797884,0.4668196593504271,0.2179205943560488,0.4662071772237641,0.3879936550873432,0.2424960344295894,0.4378457203538255,0.9379333358905269,0.9,0.94,1.440384569013743,1.7163236988951305,0.96,0.99,0.0330091346717881,0.0212132034355964,0.0167928556237466,0.013856406460551,0.0070356236397351,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-4,did2s,200,200.0,1.0,-2.3999999999999995,1.2137281414440897,1.2137281414440897,0.2468389570055792,0.0609294706956022,1.238450977905645,1.2137281414440897,0.5057200589350375,0.2506742157243565,1.0155374936164985,0.0,0.005,0.8246449728621414,0.9826248770959456,1.0,1.0,0.0174541500359659,0.0,0.004987484335815,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-4,did_dr,196,196.0,0.98,-2.3999999999999995,-0.0123760242805692,0.0123760242805692,0.4527462662327211,0.2049791815876699,0.4517593777816966,0.3646646857147452,0.1519436190478104,0.4427818386874947,0.9779911436307585,0.8979591836734694,0.9438775510204082,1.4566229569849602,1.7356729273625946,1.0,1.0,0.0323390190166229,0.0216215699332235,0.0164398594295043,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-4,synthdid,200,200.0,1.0,-2.3999999999999995,0.8787594463831409,0.8787594463831409,0.3279218521643894,0.1075327411269236,0.9376637147873929,0.8807623950707553,0.3669843312794814,0.4820171687713825,1.469914754353559,0.4,0.57,1.585695736244567,1.889472596347668,0.945,0.99,0.0231875765364692,0.0346410161513775,0.0350071421284285,0.0161206389451535,0.0070356236397351,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_k=-4,wang,200,200.0,1.0,-2.3999999999999995,0.006936938276092,0.006936938276092,0.4415561023997155,0.194971791566428,0.4405054525442815,0.349950743350677,0.1458128097294487,0.4602014288635915,1.042226404215783,0.9,0.965,1.5139283221439876,1.8039564666424,1.0,1.0,0.031222731428114,0.0212132034355964,0.012995191418367,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_slope,did2s,200,200.0,1.0,0.8,-0.403331334651904,0.403331334651904,0.0926740477769129,0.0085884791313575,0.413789441924014,0.403331334651904,0.5041641683148801,0.0873520697507316,0.942573156629648,0.005,0.01,0.2873628026755399,0.3424138240738461,1.0,1.0,0.0065530447623061,0.004987484335815,0.0070356236397351,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_slope,did_dr,196,196.0,0.98,0.7999999999999999,0.0094349234043001,0.0094349234043001,0.1697888583448177,0.0288282564180365,0.1696177798957799,0.1406238176371501,0.1757797720464376,0.1553397912106932,0.914899792159622,0.8877551020408163,0.923469387755102,0.5110225538641474,0.6089207970809503,1.0,1.0,0.0121277755960584,0.02254767973507,0.018988943833984,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_slope,synthdid,200,200.0,1.0,0.8,-0.2915207241146881,0.2915207241146881,0.1202722285752121,0.014465408966448,0.3152418349616178,0.2917124931515241,0.3646406164394051,0.1688306670921282,1.4037377463788334,0.445,0.645,0.5554035961783113,0.6618040591931122,0.915,0.97,0.008504530841395,0.0351407882666282,0.0338360015368246,0.019719913792915,0.0120623380818148,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X1_slope,wang,200,200.0,1.0,0.8,0.0016182776223469,0.0016182776223469,0.1620836203539468,0.0262710999870423,0.1616860022066541,0.1313594342541341,0.1641992928176677,0.1626504333192277,1.0034970403797938,0.9,0.95,0.5350724316937303,0.6375779877801739,1.0,1.0,0.0114610427071541,0.0212132034355964,0.0154110350074224,0.0,0.0,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any,did2s,200,200.0,1.0,-0.0028935558949013,,,,,,,,,,,,,,0.105,0.22,,,,0.0216766002869453,0.0292916370317536,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any,did_dr,194,194.0,0.97,-0.0037371577682598,,,,,,,,,,,,,,0.1134020618556701,0.2474226804123711,,,,0.0227652785698676,0.0309809300864298,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any,synthdid,200,200.0,1.0,-0.0028935558949013,,,,,,,,,,,,,,0.015,0.05,,,,0.0085950567188355,0.0154110350074224,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any,wang,200,200.0,1.0,-0.0028935558949013,,,,,,,,,,,,,,0.105,0.225,,,,0.0216766002869453,0.0295275295275442,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any_bonf,did2s,200,200.0,1.0,-0.0028935558949013,,,,,,,,,,,,,,0.02,0.06,,,,0.0098994949366116,0.0167928556237466,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any_bonf,did_dr,194,194.0,0.97,-0.0037371577682598,,,,,,,,,,,,,,0.0412371134020618,0.0824742268041237,,,,0.0142757479231238,0.019750013534797,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any_bonf,synthdid,200,200.0,1.0,-0.0028935558949013,,,,,,,,,,,,,,0.005,0.015,,,,0.004987484335815,0.0085950567188355,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_any_bonf,wang,200,200.0,1.0,-0.0028935558949013,,,,,,,,,,,,,,0.045,0.075,,,,0.014658615214269,0.0186245805321891,power,200.0
canonical,PT_violation_het40,3,200,PRE_SUBC,X2_k=-2,did2s,200,200.0,1.0,0.0028935558949013,-0.0078924931423864,0.0078924931423864,0.2445578431782258,0.0598085386599857,0.2477765271549822,0.1964221232248893,3.658048626632655,0.2492261800334399,1.0190888862714245,0.895,0.965,0.8198813582654475,0.976948681446122,0.05,0.095,0.0172928509303679,0.0216766002869453,0.012995191418367,0.0154110350074224,0.0207334271166153,power,200.0
